row_index_1,row_index_2,name_company_1,name_company_2,address_1,address_2,city_1,city_2,state_1,state_2,country_1,country_2,continent_1,continent_2,is_match
16339,10177,NEW AGE REBEL LTD,ALL ABOUT DRINKS CONSULTING SERVICES LTD,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
16339,12164,NEW AGE REBEL LTD,S A ELECTRICAL SOLUTIONS LTD,"86-90 Paul Street, London, England, EC2A 4NE","86-90 Paul Street, London, England, United Kingdom, EC2A 4NE",,,,,,,,,1
16343,10456,GraIncorp Ltd,Mirvac Group,"L 28 175 Liverpool St, Sydney, New South Wales, 2000","L 28 200 George St, Sydney, New South Wales, 2000",,,,Sydney,,Australia,,Oceania,1
16697,3676,Compagnie d'Entreprises CFE SA,Groupe Bruxelles Lambert SA,"Avenue Herrmann-Debroux 42, Bruxelles, 1160","Avenue Marnix 24, Bruxelles, 1000",,,,,,,,,1
16743,3108,Q BRIDGE ENTERTAINMENT LTD,FOOD COMPLIANT ENGINEERING LTD,"20-22 Wenlock Road, London, England, N1 7GU","20-22 Wenlock Road, London, N1 7GU",,,,,,,,,1
16745,10169,U.S. Bancorp,Piper Sandler Companies,"800 Nicollet Mall, Minneapolis, Minnesota, 55402-7000","800 Nicollet Mall, Suite 900, Mail Stop J09s02, Minneapolis, Minnesota, 55402",,,,,,USA,,Americas,1
16763,561,BEAUTY & MELODY KNIGHTSBRIDGE LIMITED,BEAUTY AND MELODY (ANGEL) LIMITED,"57a St. Johns Wood High Street, London, United Kingdom, NW8 7NL","57a-C St. Johns Wood High Street, London, England, NW8 7NL",,,,,,,,,1
17034,13098,ALL ABOUT CARE SOUTH WEST LIMITED,V & JJ LIMITED,"24 Cornwall Road, Dorchester, Dorset, DT1 1RX","24 Cornwall Road, Dorchester, Dorset, England, DT1 1RX",,,,,,,,,1
17151,6263,MSSR INVESTMENTS LTD,MSSR RESTAURANTS LIMITED,"Benson House Suite D, 98-104 Lombard Street, Birmingham, West Midlands, England, B12 0QR","Benson House Suite D, 98-104 Lombard Street, Birmingham, West Midlands, United Kingdom, B12 0QR",,,,,,,,,1
17212,4665,Comet Holding Spa,Conad Consorzio Nazionale Dettaglianti Soc Coop,"VIA MICHELINO 105, BOLOGNA, 40127, BOLOGNA, ITALY","VIA MICHELINO 59, BOLOGNA, 40127, BOLOGNA, ITALY",,,,,IT02406221206,IT03320960374,,,1
