id,left_row_index,right_row_index,left_name_company,right_name_company,left_industryname,right_industryname,left_sector,right_sector,left_address,right_address,left_city,right_city,left_state,right_state,left_country,right_country,left_continent,right_continent,left_other,right_other
51379,51379,26424,BEAUTY AND THE BROWS ESSEX LIMITED,BEAUTY AND THE BRIDE LIMITED,,,,,,,,,,,,,,,,
51416,51416,31559,BEAUTY AND THE BEAST LIMITED,BEAUTY AND THE BARISTA LTD,,,,,,,,,,,,,,,,
51417,51417,27678,SOFTWARE CITY LIMITED,SOFTWARE CENTRE LIMITED,,,,,,,,,,,,,,,,
51422,51422,26632,"Nuode Investment Co.,Ltd",Nuode Investment,,,,,,,,,,,,,,,,
51437,51437,10697,Altareit Sca,Altareit SCA,,,,,,,,,,,,,,,,
51444,51444,26257,Mitsui & Co.,Mitsui & Co Ltd,,,,,,,,,,,,,,,,
51456,51456,21359,Aston Martin Lagonda Global Holdings Plc,Aston Martin Lagonda Global Holdings,,,,,,,,,,,,,,,,
51473,51473,13494,"Skyworks Solutions, Inc.",Skyworks Solutions Inc,,,,,,,,,,,,,,,,
51476,51476,46201,Zhejiang Wolwo Bio-pharmaceutical,Zhejiang Wolwo Bio-Pharmaceutical Co. Ltd,,,,,,,,,,,,,,,,
51479,51479,24713,Santander Consumer USA Holdings Inc.,Santander Consumer USA Holdings Inc,,,,,,,,,,,,,,,,
51485,51485,33141,Derwent London plc,Derwent London,,,,,,,,,,,,,,,,
51492,51492,34512,Paramount Bed Holdings Co. Ltd,Paramount Bed Holdings,,,,,,,,,,,,,,,,
51497,51497,28140,Sequoia Economic Infrastructure Income Fund Limited,Sequoia Economic Infrastructure Inc Ord,,,,,,,,,,,,,,,,
51498,51498,28864,"Nissin Electric Co.,Ltd.",Nissin Electric Co Ltd,,,,,,,,,,,,,,,,
51516,51516,8611,Live Nation Entertainment Inc,Live Nation Entertainment,,,,,,,,,,,,,,,,
51525,51525,7485,Z CATERING LIMITED,Z CATERING EQUIPMENT LTD,,,,,,,,,,,,,,,,
51533,51533,7368,Oil Refineries Ltd,Oil Refineries,,,,,,,,,,,,,,,,
51542,51542,36560,ALL ABOUT BUILDING HOMES LIMITED,ALL ABOUT BUILDERS LTD,,,,,,,,,,,,,,,,
51551,51551,25948,Athene Holding Ltd,Athene Holding,,,,,,,,,,,,,,,,
51570,51570,20774,United Company Rusal,United Company RUSAL Plc,,,,,,,,,,,,,,,,
51598,51598,17637,China Resources Gas Group Ltd,China Resources Gas Group,,,,,,,,,,,,,,,,
51603,51603,24630,ALL ABOUT ME FITNESS LTD,ALL ABOUT ME ENTERPRISES LIMITED,,,,,,,,,,,,,,,,
51607,51607,18568,Bankinter SA,Bankinter,,,,,,,,,,,,,,,,
51615,51615,9065,Mortgage Advice Bureau (holdings),Mortgage Advice Bureau (Holdings) plc,,,,,,,,,,,,,,,,
51619,51619,44734,Liberty Broadband Corporation,Liberty Broadband,,,,,,,,,,,,,,,,
51620,51620,17733,Metro Ag,Metro AG,,,,,,,,,,,,,,,,
51624,51624,33533,Jilin Jiutai Rural Commercial Bank Corporation Limited,Jilin Jiutai Rural Commercial Bank Corporation,,,,,,,,,,,,,,,,
51625,51625,5340,Q AND S PHARMA SOLUTIONS LIMITED,Q AND S PHARMA LIMITED,,,,,,,,,,,,,,,,
51643,51643,49409,BAD LUCK LTD,BAD LUCK GROUP LTD,,,,,,,,,,,,,,,,
51645,51645,29459,Sandvik AB,Sandvik,,,,,,,,,,,,,,,,
51646,51646,25141,Country Garden Holdings Company,Country Garden Holdings Co Ltd,,,,,,,,,,,,,,,,
51651,51651,21925,Diploma plc,Diploma Plc,,,,,,,,,,,,,,,,
51660,51660,45839,Shandong Weigao Group Medical Polymer Company Ltd,Shandong Weigao Group Medical Polymer Company,,,,,,,,,,,,,,,,
51663,51663,29854,Kenedix Office Investment Corporation,Kenedix Office Investment Corp,,,,,,,,,,,,,,,,
51664,51664,19203,Teck Resources Ltd,Teck Resources Limited,,,,,,,,,,,,,,,,
51670,51670,23096,Qingdao Port International Co. Ltd,Qingdao Port International,,,,,,,,,,,,,,,,
51671,51671,15021,Metropolitan Bank & Trust Co,Metropolitan Bank & Trust,,,,,,,,,,,,,,,,
51674,51674,42663,Befimmo SA,Befimmo,,,,,,,,,,,,,,,,
51682,51682,25952,Distell Group Holdings Ltd,Distell Group Holdings,,,,,,,,,,,,,,,,
51709,51709,12958,Caisse Regionale de Credit Agricole Mutuel Alpes Provence,Caisse Regionale De Credit Agricole Mutuel Toulouse 31,,,,,,,,,,,,,,,,
51714,51714,10401,Kyowa Kirin Co. Ltd,Kyowa Kirin Co Ltd,,,,,,,,,,,,,,,,
51717,51717,30862,SM Investments Corp,SM Investments,,,,,,,,,,,,,,,,
51720,51720,39441,Airports of Thailand,Airports Of Thailand,,,,,,,,,,,,,,,,
51724,51724,12335,Zoomlion Heavy Industry Science and Technology Co Ltd,Zoomlion Heavy Industry Science And Technology,,,,,,,,,,,,,,,,
51726,51726,27186,Hyosung Chemical Corporation,Hyosung Chemical Corp,,,,,,,,,,,,,,,,
51738,51738,42415,Johnson Electric Holdings Ltd,Johnson Electric Holdings Limited,,,,,,,,,,,,,,,,
51752,51752,24691,Wacker Neuson Se,Wacker Neuson SE,,,,,,,,,,,,,,,,
51758,51758,2173,Zhejiang Zheneng Electric Power CO Ltd,Zhejiang Zheneng Electric Power,,,,,,,,,,,,,,,,
